sport,close_source,market,n,move_rate,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
WNBA,consensus,moneyline,505,0.7623762376237624,505,0.005090758785343143,0.7440084900489249,0.2898877800943812,0.7722320904043047,385,0.5324675324675324,0.2212224735076845,False,False
WNBA,consensus,spread,493,0.7241379310344828,136,-0.0026041854863404,-2.323269118416279,-2.5833727910642788,0.0113776764293133,356,0.5280898876404494,0.31393456330108693,False,False
WNBA,consensus,total,511,0.7084148727984344,149,-0.0010699320544812396,-1.7353514641208936,-1.178692382143969,0.24156023250329614,362,0.56353591160221,0.017900902717329626,False,False
WNBA,consensus,_ALL_,1509,0.731610337972167,790,0.00260410643587125,0.5945830268084483,0.025267727387107895,0.9798689473356189,1103,0.5412511332728921,0.006703793609108971,False,False
WNBA,consensus|fd_open,_ALL_,949,0.7312961011591148,499,0.0054921393222735725,1.0257543331932353,1.0747549695289855,0.28438752490310615,694,0.5461095100864554,0.01672007375935585,False,False
WNBA,FanDuel,moneyline,507,0.7317554240631163,507,0.0030832759070710605,0.4421186165160871,0.11087122323634171,0.9118406344975618,371,0.5417789757412399,0.11922818894201033,False,False
WNBA,FanDuel,spread,506,0.7134387351778656,145,-0.0027731466505048923,-2.256839137791066,-2.3281288376707936,0.022073233181085228,360,0.5111111111111111,0.7122333668699875,False,False
WNBA,FanDuel,total,508,0.7165354330708661,144,-0.002608783135972343,-3.095120866562949,-2.6497368321331582,0.009604237698772559,364,0.5741758241758241,0.005398199451774146,False,False
WNBA,FanDuel,_ALL_,1521,0.7205785667324129,796,0.0009867460414344233,0.2217606150945247,-0.1903264458894838,0.8492642960582214,1095,0.5424657534246575,0.0054082048632031945,False,False
WNBA,FanDuel|fd_open,_ALL_,955,0.6596858638743456,539,0.0051478974183583525,1.0568765686037638,0.995690657433189,0.3211558492191759,630,0.5492063492063493,0.015020667284960132,False,False
WNBA,DraftKings,moneyline,505,0.7227722772277227,505,0.005397793738391977,0.7988523508518238,0.28724512403111985,0.7742514183709337,365,0.5178082191780822,0.5299899834096845,False,False
WNBA,DraftKings,spread,502,0.7310756972111554,134,-0.0008568575588601615,-0.5900057734870742,-0.5225628033463745,0.6026540620454192,367,0.5313351498637602,0.250773356102576,False,False
WNBA,DraftKings,total,502,0.7330677290836654,134,-0.0006204033999385225,-0.7101357739283781,-0.6460197672733045,0.5199288399467341,368,0.532608695652174,0.2304984308885245,False,False
WNBA,DraftKings,_ALL_,1509,0.7289595758780649,773,0.003270288317475971,0.7392588258471413,0.08225200468125345,0.9345362145431355,1100,0.5272727272727272,0.07520553360263947,False,False
WNBA,DraftKings|fd_open,_ALL_,947,0.8120380147835269,436,0.006204400323862731,1.0298263653509963,0.9568460539282458,0.3403427835892847,769,0.5266579973992198,0.14913156780123657,False,False
