sport,close_source,market,n,move_rate,mean_abs_move,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
MLB,consensus,doubles,1831,0.0,,1831,-0.0011881843427883941,-1.6768960339850894,-1.994042057200293,0.062441579122880904,,,,False,False
MLB,consensus,earned_runs,392,0.07397959183673469,0.9655172413793104,363,-0.0002358701769332374,-0.09652282300632214,-0.12977939025346044,0.8982641860281501,29.0,0.6206896551724138,0.26493089646101,False,False
MLB,consensus,hits,1809,0.014372581536760642,0.9807692307692307,1783,0.002136643427478764,2.545391410376054,1.0436390621305247,0.3112668991157844,26.0,0.6153846153846154,0.32693958282470703,False,False
MLB,consensus,hits_allowed,42,0.047619047619047616,1.0,40,-0.023320061605336995,-2.3453966486040763,,,,,,False,False
MLB,consensus,homeruns,1830,0.0,,1830,0.0014938080005083008,1.280054809890904,0.6822466212050269,0.5042736729893901,,,,False,False
MLB,consensus,hrr,193,0.10362694300518134,0.95,173,0.002491941729252078,0.7511394336387426,,,,,,False,False
MLB,consensus,outs_recorded,41,0.2926829268292683,1.2916666666666667,29,,,,,,,,False,False
MLB,consensus,rbi,1816,0.0,,1816,0.000727177236618216,0.6834333854225448,0.616612935147157,0.5456597788639654,,,,False,False
MLB,consensus,runs,1810,0.0,,1810,0.00115341861675025,1.147485100176934,0.9301587817446507,0.3653101139391255,,,,False,False
MLB,consensus,singles,1814,0.0,,1814,0.0009154621661679527,1.125296301954391,1.5469533274746121,0.14028752212252396,,,,False,False
MLB,consensus,stolen_bases,1838,0.0,,1838,0.0010936812617389983,0.8469994490831095,0.9631358131730904,0.3489805582978326,,,,False,False
MLB,consensus,strikeouts,390,0.1564102564102564,1.0,329,0.004323352941940227,0.7210485371491985,0.016259396893893066,0.9872167519074962,61.0,0.5245901639344263,0.7981526273057179,False,False
MLB,consensus,total_bases,1814,0.05181918412348401,0.973404255319149,1720,0.0016654211697504282,1.9544206572165435,0.47856484405076616,0.6383452134802297,94.0,0.574468085106383,0.17966501480803007,False,False
MLB,consensus,triples,1733,0.0,,1733,0.0013320525232804292,1.3294563009289524,1.377277305226202,0.18629165865922503,,,,False,False
MLB,consensus,walks_allowed,42,0.07142857142857142,1.0,39,-0.01570167060702464,-1.4937950176352106,,,,,,False,False
MLB,consensus,_ALL_,17395,0.014199482609945387,0.9939271255060729,17148,0.0009651872221490474,2.8399130341777212,1.7144573680767887,0.10461603389205992,247.0,0.5789473684210527,0.015441004332333374,False,False
MLB,consensus|fd_open,_ALL_,150,0.2,1.0,120,0.02204216788210119,1.9573895116681481,2.0234456705931603,0.06122289782840073,30.0,0.43333333333333335,0.5846647117286922,False,False
MLB,FanDuel,strikeouts,381,0.1837270341207349,1.0,311,0.006398945374954902,1.0271411896653337,1.3820779157852594,0.18718393291803462,70.0,0.5142857142857142,0.9049745264594622,False,False
MLB,FanDuel,_ALL_,381,0.1837270341207349,1.0,311,0.006398945374954902,1.0271411896653337,1.3820779157852594,0.18718393291803462,70.0,0.5142857142857142,0.9049745264594622,False,False
MLB,FanDuel|fd_open,_ALL_,152,0.19078947368421054,1.0,123,0.024684041120420695,2.3459528580119997,1.9891310641160742,0.06524389711800252,29.0,0.41379310344827586,0.45825831964612007,False,False
MLB,DraftKings,doubles,1820,0.0,,1820,-0.0013718379119235491,-1.9918254688963026,-2.7264076110189586,0.014360259243883398,,,,False,False
MLB,DraftKings,earned_runs,390,0.11794871794871795,1.0,344,0.0010675365493698764,0.4332677415183571,-0.23314905853318005,0.818429800918088,46.0,0.5869565217391305,0.3019956131896606,False,False
MLB,DraftKings,hits,1826,0.02792990142387733,1.0,1775,0.0018584713884028312,2.1178544684616876,0.9013699210862477,0.37998479499092963,51.0,0.6470588235294118,0.04887389231827033,False,False
MLB,DraftKings,hits_allowed,40,0.1,1.0,36,-0.004753019660155511,-0.4387549724973934,,,,,,False,False
MLB,DraftKings,hrr,193,0.14507772020725387,1.0,165,0.0021278830293870177,0.5237313040990703,,,28.0,0.5357142857142857,0.8505540192127228,False,False
MLB,DraftKings,outs_recorded,38,0.23684210526315788,1.2222222222222223,29,,,,,,,,False,False
MLB,DraftKings,rbi,1809,0.0,,1809,-0.00017943225202680368,-0.16004901305329386,0.029829729036678933,0.9765502528456531,,,,False,False
MLB,DraftKings,runs,1776,0.0,,1776,0.001125194531419067,1.0676300927471014,0.6948161782194272,0.4965581015694003,,,,False,False
MLB,DraftKings,singles,1806,0.0,,1806,0.0009469190763414308,1.0981701576839575,1.6375002637554785,0.11990156582357485,,,,False,False
MLB,DraftKings,stolen_bases,1236,0.0,,1236,0.000885856484010676,0.534843511231804,0.24916135867095487,0.8062214276231353,,,,False,False
MLB,DraftKings,strikeouts,393,0.18575063613231552,1.0,320,0.0036152834131133764,0.583925075310024,0.849937990156812,0.4071709155976262,73.0,0.5342465753424658,0.6399729317539425,False,False
MLB,DraftKings,total_bases,1733,0.058280438545874204,1.0,1632,0.0014614639777955243,1.7169389078803168,0.5852458825477291,0.5660706474165652,101.0,0.5742574257425742,0.16327926185142755,False,False
MLB,DraftKings,triples,31,0.0,,31,0.0010661621563209155,0.7424097990064527,0.6865711895824665,0.5079599707238147,,,,False,False
MLB,DraftKings,walks_allowed,37,0.08108108108108109,1.0,34,-0.015110598315869916,-1.3119342502553049,,,,,,False,False
MLB,DraftKings,_ALL_,13128,0.023994515539305303,1.0063492063492063,12813,0.0007115566227810029,1.7971418695484995,1.2353465958628915,0.23350228606458745,315.0,0.580952380952381,0.004766616954201599,False,False
MLB,DraftKings|fd_open,_ALL_,151,0.23841059602649006,1.0,115,0.020739313553245587,1.892542476293604,1.9120411179139882,0.07516430288739885,36.0,0.4166666666666667,0.4050322461407632,False,False
