sport,close_source,market,n,move_rate,mean_abs_move,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
NBA,consensus,assists,11982,0.14037723251543982,1.0092152199762188,10300,0.004226754671462855,5.369409726667355,4.014141677203334,8.289112323366153e-05,1682,0.6254458977407847,5.748684675116872e-25,True,True
NBA,consensus,blocks,12126,0.010968167573808345,0.9022556390977443,11993,0.0003702373074650877,0.9143496932789823,0.005550132554096209,0.9955769014917967,133,0.6466165413533834,0.0009131976345915825,False,False
NBA,consensus,points,12318,0.39957785354765385,1.3163348232425842,7396,0.0009720679538502215,2.102278287276138,1.3272347745045048,0.18586536415141947,4922,0.57842340511987,3.340236883049843e-28,False,True
NBA,consensus,pra,12300,0.46422764227642277,1.4908931698774082,6590,0.000729178499721522,1.7084453132598925,2.185752363828674,0.029934171745286394,5710,0.569877408056042,4.35908986923346e-26,False,True
NBA,consensus,pts_ast,10659,0.43934703067830005,1.366965620328849,5976,0.0008711913401246699,1.8246369161970253,0.4865788219517684,0.627064257529639,4683,0.5842408712363869,8.078551287267434e-31,False,True
NBA,consensus,pts_reb,11593,0.44958164409557494,1.4481964696853415,6381,0.0005921388036668999,1.3183823218036514,0.5862345820439161,0.5583444809864844,5212,0.5863392171910975,9.181877111648418e-36,False,True
NBA,consensus,reb_ast,11077,0.27326893563239146,1.059134456557648,8050,0.0027879785214847165,4.054230719369993,3.316654595006712,0.0010726434163773032,3027,0.5966303270564915,1.7862797095111812e-26,True,True
NBA,consensus,rebounds,12144,0.18758234519104083,1.0300702370500439,9866,0.003883677021959926,5.071437426380685,4.710909069573317,4.470045083494183e-06,2278,0.6167690956979807,5.31904011874348e-29,True,True
NBA,consensus,steals,10870,0.03854645814167433,0.8568019093078759,10451,0.0011323310538532785,2.178461940757524,2.756192047115397,0.006359774125484762,419,0.6921241050119332,2.46759565995821e-15,True,True
NBA,consensus,threes,12012,0.06943056943056942,0.9850119904076738,11178,0.0022649597146309655,3.2731932143061373,2.10089674025243,0.036837353555187934,834,0.6714628297362111,2.103337564815822e-23,False,True
NBA,consensus,_ALL_,117081,0.2468376593981944,1.2973010380622838,88181,0.0018923181108140635,9.594288541611343,6.3027883750603575,1.6808984752256675e-09,28900,0.5914186851211073,3.280150082200522e-213,True,True
NBA,consensus|fd_open,_ALL_,44046,0.2956454615629115,1.365458454922439,31024,0.002569847649847326,7.02691105223688,5.962069353045298,1.0958789663964982e-08,13022,0.6002150207341422,1.8305142233447075e-116,True,True
NBA,FanDuel,assists,6600,0.1796969696969697,1.0311973018549747,5414,0.00493385385322288,4.112793197240958,3.181581205563159,0.0016866838529511336,1186,0.6214165261382799,5.537134532644106e-17,True,True
NBA,FanDuel,blocks,1037,0.06557377049180328,1.0,969,0.00529707276972799,2.053920249773947,2.303022218052139,0.02259864233134411,68,0.6911764705882353,0.0021862431776861714,False,False
NBA,FanDuel,points,10133,0.4056054475476167,1.3579075425790754,6023,0.001057556838154082,1.8828402772341863,0.8518062963315508,0.39532536570836085,4110,0.5793187347931873,2.544260494005452e-24,False,True
NBA,FanDuel,pra,7265,0.5289745354439092,1.6169659120478792,3422,0.0008967344803532416,1.5175533433831208,0.715679665790066,0.4750238787700072,3843,0.5787145459276607,1.6192002304543043e-22,False,True
NBA,FanDuel,pts_ast,6938,0.44811184779475355,1.4567385011257639,3829,4.438777820586502e-05,0.07510886001765593,0.11794549581199375,0.9062280412637173,3109,0.585075587005468,2.2628072048375224e-21,False,True
NBA,FanDuel,pts_reb,9634,0.45079925264687565,1.5028781947962238,5291,0.00040141289284300875,0.8355966290199845,-1.0435530105886606,0.2979456959447874,4343,0.5862307160948653,5.3558974545536804e-30,False,True
