date,cum_units
2017-07-28,-0.1800000000000006
2017-07-29,0.4199999999999995
2017-07-30,-2.5800000000000005
2017-07-31,-0.1800000000000006
2017-08-04,-4.23
2017-08-05,2.58
2017-08-06,2.9499999999999997
2017-08-07,0.23999999999999977
2017-08-08,-1.7400000000000002
2017-08-10,-3.74
2017-08-11,-7.09
2017-08-12,-1.92
2017-08-13,-0.24
2017-08-14,-2.24
2017-08-15,-6.41
2017-08-16,-5.54
2017-08-18,-8.219999999999999
2017-08-19,-1.1199999999999983
2017-08-20,-5.769999999999998
2017-08-21,-5.919999999999998
2017-08-25,-2.3299999999999987
2017-08-26,-3.479999999999999
2017-08-27,-0.6299999999999994
2017-08-28,-2.059999999999999
2017-09-01,-3.059999999999999
2017-09-02,-5.399999999999999
2017-09-03,-3.6799999999999984
2017-09-05,-2.4299999999999984
2017-09-08,-2.7299999999999986
2017-09-09,5.2700000000000005
2017-09-10,19.12
2017-09-11,20.52
2017-09-12,19.1
2017-09-13,19.970000000000002
2017-09-15,18.690000000000005
2017-09-16,33.52
2017-09-17,32.970000000000006
2017-09-18,34.88
2017-09-19,33.400000000000006
2017-09-20,52.650000000000006
2017-09-21,52.900000000000006
2017-09-22,52.010000000000005
2017-09-23,47.650000000000006
2017-09-24,52.25000000000001
2017-09-25,51.43000000000001
2017-09-26,51.63000000000001
2017-09-27,52.58000000000001
2017-09-29,49.98000000000001
2017-09-30,49.71000000000001
2017-10-01,38.91000000000001
2017-10-02,40.500000000000014
2017-10-03,39.000000000000014
2017-10-04,39.73000000000001
2017-10-07,36.74000000000001
2017-10-08,32.48000000000001
2017-10-10,33.85000000000001
2017-10-11,36.470000000000006
2017-10-13,39.910000000000004
2017-10-14,27.960000000000004
2017-10-15,30.240000000000006
2017-10-16,27.240000000000006
2017-10-17,36.440000000000005
2017-10-20,37.300000000000004
2017-10-21,73.62
2017-10-22,68.0
2017-10-23,74.85
2017-10-24,76.71
2017-10-25,74.91
2017-10-27,78.17999999999999
