key,date,tip,event_id,market,player,team,game,side,fd_line,fd_cost,model_p,ev,strong,min_odds_3pct,min_odds_6pct,stake,mu_model,mu_open,open_line,flags,play,already_bet
2766_rebounds_natasha mack_under,2026-08-27,2026-08-28 02:00:00,2766,rebounds,Natasha Mack,PHO,WAS@PHO,under,7.5,-104.0,0.7891,0.5479,True,-327,-291,0.0,5.33,,7.5,MOVED_OFF_OPEN;SUSPECT_EV(55%);ROLE_START?,False,False
2770_points_isabelle harrison_under,2026-08-28,2026-08-29 02:00:00,2770,points,Isabelle Harrison,TOR,TOR@LVA,under,14.5,-114.0,0.7881,0.4794,True,-325,-289,0.0,10.22,,14.5,SUSPECT_EV(48%);ROLE_MIN?,False,False
2768_rebounds_aaliyah edwards_under,2026-08-28,2026-08-28 23:30:00,2768,rebounds,Aaliyah Edwards,CON,CON@IND,under,5.5,-102.0,0.6242,0.2362,True,-153,-143,3.0,4.81,,5.5,ROLE_START?,True,False
2770_assists_laura juskaite_under,2026-08-28,2026-08-29 02:00:00,2770,assists,Laura Juskaite,TOR,TOR@LVA,under,2.5,-130.0,0.698,0.2349,True,-210,-192,4.0,1.81,,2.5,,True,False
2768_points_makayla timpson_under,2026-08-28,2026-08-28 23:30:00,2768,points,Makayla Timpson,IND,CON@IND,under,8.5,-106.0,0.621,0.2068,True,-151,-141,3.0,7.41,,8.5,,True,False
2765_points_breanna stewart_under,2026-08-27,2026-08-28 00:00:00,2765,points,Breanna Stewart,NYL,GSV@NYL,under,20.5,-110.0,0.6296,0.202,True,-157,-146,0.0,18.47,,21.5,MOVED_OFF_OPEN,False,True
2768_rebounds_kelsey mitchell_under,2026-08-28,2026-08-28 23:30:00,2768,rebounds,Kelsey Mitchell,IND,CON@IND,under,2.5,-162.0,0.7365,0.1912,True,-250,-227,4.0,1.6,,2.5,,True,False
2765_points_jonquel jones_under,2026-08-27,2026-08-28 00:00:00,2765,points,Jonquel Jones,NYL,GSV@NYL,under,14.5,-125.0,0.6606,0.1892,True,-178,-165,0.0,12.35,,13.5,MOVED_OFF_OPEN,False,True
2765_points_marine johannes_over,2026-08-27,2026-08-28 00:00:00,2765,points,Marine Johannes,NYL,GSV@NYL,over,5.5,-125.0,0.6587,0.1857,True,-177,-164,3.0,7.94,,5.5,,False,True
2770_rebounds_kiki rice_under,2026-08-28,2026-08-29 02:00:00,2770,rebounds,Kiki Rice,TOR,TOR@LVA,under,4.5,-162.0,0.7294,0.1797,True,-242,-220,3.5,3.26,,4.5,,True,False
2768_threes_aliyah boston_under,2026-08-28,2026-08-28 23:30:00,2768,threes,Aliyah Boston,IND,CON@IND,under,0.5,164.0,0.4435,0.1709,True,133,140,1.5,0.81,,0.5,,True,False
2767_rebounds_bridget carleton_over,2026-08-28,2026-08-28 23:30:00,2767,rebounds,Bridget Carleton,PDX,PDX@ATL,over,4.5,106.0,0.5641,0.162,True,-121,-113,2.0,5.1,,4.5,,True,False
2766_rebounds_alyssa thomas_over,2026-08-27,2026-08-28 02:00:00,2766,rebounds,Alyssa Thomas,PHO,WAS@PHO,over,8.5,116.0,0.5337,0.1527,True,-107,-101,1.5,8.96,,8.5,,False,True
2770_threes_aja wilson_under,2026-08-28,2026-08-29 02:00:00,2770,threes,A'ja Wilson,LVA,TOR@LVA,under,0.5,172.0,0.4196,0.1412,True,146,153,1.0,0.87,,0.5,,True,False
2767_rebounds_emily engstler_under,2026-08-28,2026-08-28 23:30:00,2767,rebounds,Emily Engstler,PDX,PDX@ATL,under,5.5,116.0,0.5245,0.1329,True,-103,103,1.5,5.49,,5.5,,True,False
2768_threes_caitlin clark_under,2026-08-28,2026-08-28 23:30:00,2768,threes,Caitlin Clark,IND,CON@IND,under,2.5,136.0,0.479,0.1304,True,116,122,1.0,2.76,,2.5,,True,False
2767_assists_carla leite_under,2026-08-28,2026-08-28 23:30:00,2767,assists,Carla Leite,PDX,PDX@ATL,under,6.5,116.0,0.5177,0.1183,True,-101,105,1.5,6.49,,6.5,,True,False
2767_points_megan dileo_under,2026-08-28,2026-08-28 23:30:00,2767,points,Megan DiLeo,PDX,PDX@ATL,under,14.5,-122.0,0.6083,0.1069,True,-144,-134,1.5,13.18,,14.5,,True,False
2766_threes_kelsey plum_over,2026-08-27,2026-08-28 02:00:00,2766,threes,Kelsey Plum,PHO,WAS@PHO,over,1.5,-128.0,0.6196,0.1037,True,-150,-140,0.0,2.1,,1.5,MOVED_OFF_OPEN;ROLE_MIN?;ROLE_START?,False,False
